country.name.en,continent,region
Afghanistan,Asia,South Asia
Albania,Europe,Europe & Central Asia
Algeria,Africa,Middle East & North Africa
American Samoa,Oceania,East Asia & Pacific
Andorra,Europe,Europe & Central Asia
Angola,Africa,Sub-Saharan Africa
Anguilla,Americas,Latin America & Caribbean
Antarctica,Antarctica,NA
Antigua & Barbuda,Americas,Latin America & Caribbean
Argentina,Americas,Latin America & Caribbean
Armenia,Asia,Europe & Central Asia
Aruba,Americas,Latin America & Caribbean
Australia,Oceania,East Asia & Pacific
Austria,Europe,Europe & Central Asia
Austria-Hungary,NA,Europe & Central Asia
Azerbaijan,Asia,Europe & Central Asia
Baden,NA,Europe & Central Asia
Bahamas,Americas,Latin America & Caribbean
Bahrain,Asia,Middle East & North Africa
Bangladesh,Asia,South Asia
Barbados,Americas,Latin America & Caribbean
Bavaria,NA,Europe & Central Asia
Belarus,Europe,Europe & Central Asia
Belgium,Europe,Europe & Central Asia
Belize,Americas,Latin America & Caribbean
Benin,Africa,Sub-Saharan Africa
Bermuda,Americas,North America
Bhutan,Asia,South Asia
Bolivia,Americas,Latin America & Caribbean
Bosnia & Herzegovina,Europe,Europe & Central Asia
Botswana,Africa,Sub-Saharan Africa
Bouvet Island,NA,NA
Brazil,Americas,Latin America & Caribbean
British Indian Ocean Territory,NA,NA
British Virgin Islands,Americas,Latin America & Caribbean
Brunei,Asia,East Asia & Pacific
Brunswick,NA,Europe & Central Asia
Bulgaria,Europe,Europe & Central Asia
Burkina Faso,Africa,Sub-Saharan Africa
Burundi,Africa,Sub-Saharan Africa
Cambodia,Asia,East Asia & Pacific
Cameroon,Africa,Sub-Saharan Africa
Canada,Americas,North America
Cape Verde,Africa,Sub-Saharan Africa
Caribbean Netherlands,Americas,Latin America & Caribbean
Cayman Islands,Americas,Latin America & Caribbean
Central African Republic,Africa,Sub-Saharan Africa
Chad,Africa,Sub-Saharan Africa
Channel Islands,NA,Europe & Central Asia
Chile,Americas,Latin America & Caribbean
China,Asia,East Asia & Pacific
Christmas Island,Oceania,East Asia & Pacific
Cocos (Keeling) Islands,NA,East Asia & Pacific
Colombia,Americas,Latin America & Caribbean
Comoros,Africa,Sub-Saharan Africa
Congo - Brazzaville,Africa,Sub-Saharan Africa
Congo - Kinshasa,Africa,Sub-Saharan Africa
Cook Islands,Oceania,East Asia & Pacific
Costa Rica,Americas,Latin America & Caribbean
Croatia,Europe,Europe & Central Asia
Cuba,Americas,Latin America & Caribbean
Curaçao,Americas,Latin America & Caribbean
