country,expend_usd
Nigeria,10.97
Bahamas,1002
United Arab Emirates,1015
Nauru,1038
Slovakia,1058
Guatemala,107
Mongolia,108.6
Palau,1085
Mali,11.03
Niger,11.14
Ukraine,110.6
Cabo Verde,111.5
Uruguay,1117
Cyprus,1128
Iraq,118.3
Estonia,1189
Micronesia (Federated States of),119.3
Pakistan,12.33
Gabon,125.6
Georgia,125.9
Nepal,13.11
Eswatini,131.5
Kiribati,134.2
Portugal,1350
Tonga,140.1
Kuwait,1449
Singapore,1461
Fiji,149.3
Senegal,15.47
Czechia,1527
Albania,153.7
Republic of Korea,1545
United Republic of Tanzania,16.02
Tajikistan,16.87
Jordan,160.9
Slovenia,1606
Kazakhstan,161.8
Algeria,163
Republic of Moldova,169.7
Burkina Faso,17.17
Bolivia (Plurinational State of),170
Qatar,1710
Samoa,183.7
Malta,1840
Guyana,189.9
Spain,1915
Paraguay,192.8
Afghanistan,2.49
Rwanda,20.2
India,20.31
El Salvador,201.8
Grenada,201.8
Namibia,204.3
Belize,204.4
Dominican Republic,211.9
Thailand,212.5
Italy,2146
Andorra,2194
Côte d’Ivoire,22.25
Mauritania,22.4
Iran (Islamic Republic of),223.1
Malaysia,223.7
Jamaica,223.8
Israel,2234
Peru,230.5
Saint Lucia,244
Saint Vincent and the Grenadines,249
Lao People's Democratic Republic,25.05
Congo,25.82
The former Yugoslav Republic of Macedonia,253.9
Monaco,2598
Zambia,27.09
Mexico,271.8
Belarus,274.7
Cambodia,28.02
Angola,28.59
Dominica,285.3
Botswana,292.1
Democratic Republic of the Congo,3.14
Central African Republic,3.58
Guinea-Bissau,3.9
Ghana,30.01
Djibouti,30.07
Ecuador,301
China,302.1
New Zealand,3069
Türkiye,308.7
Switzerland,3104
Kyrgyzstan,32.42
South Africa,321.7
Lebanon,328.1
France,3389
United Kingdom of Great Britain and Northern Ireland,3422
Brazil,346.5
San Marino,3494
Papua New Guinea,35.18
Netherlands,3519
Canada,3547
Finland,3577
Marshall Islands,359.5
Japan,3682
Colombia,371.7
Bosnia and Herzegovina,373.8
Serbia,374.1
Belgium,3787
Kenya,39.57
Austria,3942
Russian Federation,399.9
Eritrea,4.45
Chad,4.76
Egypt,40.98
Ireland,4053
Uzbekistan,41
Australia,4100
Bulgaria,412.9
Venezuela (Bolivarian Republic of),42.07
Germany,4227
Suriname,431.9
Montenegro,445.5
Timor-Leste,45.72
Antigua and Barbuda,468.4
Equatorial Guinea,47.3
Sao Tome and Principe,47.64
Sweden,4812
Iceland,4856
Trinidad and Tobago,492.8
Uganda,5.05
Haiti,5.11
Ethiopia,5.93
Denmark,5072
Barbados,525.1
Lesotho,53.02
Luxembourg,5343
United States of America,5495
Philippines,57.75
Seychelles,572
Sri Lanka,58.18
Vanuatu,58.59
Indonesia,59.01
Romania,591.9
Cook Islands,592.6
Saint Kitts and Nevis,593.2
Bahrain,597
Burundi,6.07
Cameroon,6.26
Madagascar,6.26
Sierra Leone,6.28
Benin,6.33
Azerbaijan,60.18
Argentina,613.2
Brunei Darussalam,636.9
Oman,637.6
Costa Rica,663.6
Maldives,667.1
Armenia,68.16
Norway,6864
Chile,697.3
Togo,7.56
Sudan,7.78
Zimbabwe,7.82
Viet Nam,70.54
Latvia,708.2
Morocco,71.85
Hungary,719.8
Honduras,72.38
Poland,723.9
Panama,760.4
Greece,765.1
Tuvalu,774.1
Solomon Islands,78.18
Liberia,8.38
Niue,838.8
Bhutan,84.84
Croatia,848.1
Turkmenistan,86.8
Lithuania,891.7
Mozambique,9.35
Gambia,9.4
Bangladesh,9.43
Guinea,9.61
Myanmar,9.64
Malawi,9.78
Cuba,901.8
Tunisia,97.75
Nicaragua,99.73
