Entity,Code,y_1970,y_1980,y_1990,y_2000,y_2010,y_2020
Algeria,DZA,1764.847,3532.7976,4381.6636,3351.218,5064.9863,4877.268
Argentina,ARG,11677.968,10598.399,7046.2485,7146.8154,7966.7827,6399.2114
Australia,AUS,23040.455,25007.438,23046.951,23976.355,23584.307,20332.41
Austria,AUT,14338.809,19064.092,16595.193,18189.092,18424.117,14934.065
Azerbaijan,AZE,,,13516.019,9119.347,4031.9407,5615.1157
Bangladesh,BGD,,229.84697,207.45038,305.64832,320.99707,613.5466
Belarus,BLR,,,29906.248,8912.532,9312.492,9924.473
Belgium,BEL,32174.01,30844.746,28022.373,35027.56,34471.863,26569.008
Brazil,BRA,3126.1733,5461.749,4772.2856,6203.8535,6648.6284,5763.4785
Bulgaria,BGR,12354.624,18375.219,13561.099,6267.8457,6307.9746,7648.927
Canada,CAN,39879.496,44942.277,34812.195,36149.336,37289.805,29074.574
Chile,CHL,5668.22,5549.529,5947.4106,9059.223,10710.876,9976.817
China,CHN,403.68585,989.9839,1104.7654,2078.0774,3867.767,5586.006
Colombia,COL,3681.165,3462.3613,3505.986,3383.3352,3565.2268,3635.8503
Croatia,HRV,,,11136.418,10278.102,10046.026,8310.474
Cyprus,CYP,12491.854,15130.458,23544.809,31471.45,29657.582,21195.21
Czechia,CZE,8404.527,13285.758,9768.352,9226.3545,10212.707,9731.735
Denmark,DNK,43794.633,31476.83,20899.76,22943.725,18362.646,13055.812
Ecuador,ECU,2086.3882,4394.276,6087.8003,6204.2754,8280.867,6301.339
Egypt,EGY,2060.4316,3549.6614,4813.286,4536.264,4763.1255,3095.7026
Estonia,EST,,,26321.922,9542.015,12376.637,12076.025
Finland,FIN,27564.227,31809.1,26803.184,24424.4,21846.396,17737.309
France,FRA,22095.24,24370.137,18790.963,19486.46,15688.798,11296.34
Germany,DEU,20998.516,22681.818,19368.646,19256.928,16694.041,14019.186
Greece,GRC,9264.901,15576.48,18126.375,21402.994,19460.156,13649.443
Hong Kong,HKG,11564.239,15340.32,12928.807,17662.34,29812.625,22539.219
Hungary,HUN,6791.192,12603.488,10451.515,8089.6826,7915.096,9166.573
Iceland,ISL,28734.098,30498.83,30770.275,34101.6,26572.604,19935.373
India,IND,406.97922,540.7589,797.3536,1205.6145,1489.9209,1817.442
Indonesia,IDN,702.8881,1535.7539,2010.6669,2975.4084,3248.4126,2764.2356
Iran,IRN,4541.2197,8574.222,9915.312,11834.9,12530.483,10509.824
Iraq,IRQ,3183.824,6383.1475,10542.469,11502.16,9548.316,8813.825
Ireland,IRL,16484.75,20042.41,15417.091,26363.004,19669.781,15172.849
Israel,ISR,21415.154,24714.6,21079.229,25248.52,16899.668,12544.774
Italy,ITA,19204.457,20662.027,19866.104,19743.264,14265.399,9840.101
Japan,JPN,23185.236,24409.594,23679.244,25071.832,19631.887,14990.86
Kazakhstan,KAZ,,,15197.356,6052.3135,6802.2026,7837.365
Kuwait,KWT,67335.12,30825.44,30859.377,62402.31,86011.8,50000.03
Latvia,LVA,,,14592.926,6327.6685,9868.344,10124.339
Lithuania,LTU,,,21877.291,7924.409,10098.372,12975.343
