earliest_credit_line,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,months_since_last_credit_inquiry
2001,28,10,70795,38767,5.0
1996,30,14,28800,4321,8.0
2006,31,10,24193,16000,7.0
2007,4,4,25400,4997,15.0
2008,22,16,69839,52722,4.0
1990,32,12,42100,3898,5.0
2004,12,10,291852,18916,9.0
2005,30,15,342336,60805,7.0
1998,35,21,283190,69561,4.0
2001,9,6,33114,17768,17.0
1996,22,10,39433,22895,3.0
2000,26,10,450371,55939,4.0
1990,32,12,263800,43686,1.0
1984,65,21,259915,14387,0.0
2006,22,10,74042,26483,14.0
1995,21,11,136815,75552,
2003,21,9,375092,93016,2.0
2006,12,6,58911,54947,2.0
2003,18,7,322046,73705,2.0
2005,11,6,555154,39482,8.0
2003,13,9,70313,18128,13.0
1991,19,9,272403,47575,5.0
2002,64,17,566384,151251,6.0
1997,10,4,188450,6103,9.0
1999,26,7,65425,69177,4.0
2009,20,14,197985,17296,
2013,17,11,41891,26637,3.0
2013,9,8,43876,22920,19.0
1998,13,9,56000,14338,
2002,26,9,147217,2489,0.0
1997,36,15,405236,105548,0.0
2002,37,20,772243,497876,6.0
1982,31,20,246210,51523,17.0
2004,27,14,250359,113927,20.0
1993,21,12,631258,69647,0.0
2004,13,3,30400,92,
2003,9,7,14500,13304,6.0
1988,21,14,363649,29954,7.0
2006,12,6,55075,34186,2.0
2009,6,4,42499,10466,14.0
2004,12,6,23234,12435,13.0
2005,24,10,77285,51012,3.0
1977,29,14,74852,44015,16.0
2004,11,6,43239,31094,1.0
1991,15,11,403408,49857,8.0
1980,30,12,185068,26515,0.0
2004,17,9,175300,18870,16.0
2008,23,7,29311,13527,17.0
2012,9,7,18000,5542,
2004,39,25,404236,199983,3.0
2005,21,15,394519,69124,1.0
2002,37,15,86768,53109,4.0
2013,11,9,74518,34313,18.0
1993,27,8,224758,63799,
2008,21,6,279995,52244,9.0
1984,6,3,130600,4277,
2006,39,23,365595,30262,0.0
2007,28,24,146435,51162,0.0
