emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
global config engineer ,3.0,NJ,MORTGAGE,28000,60,14.07
warehouse office clerk,10.0,HI,RENT,5000,36,12.61
assembly,3.0,WI,RENT,2000,36,17.09
customer service,1.0,PA,RENT,21600,36,6.72
security supervisor ,10.0,CA,RENT,23000,36,14.07
,,KY,OWN,5000,36,6.72
hr ,10.0,MI,MORTGAGE,24000,60,13.59
police,10.0,AZ,MORTGAGE,20000,60,11.99
parts,10.0,NV,MORTGAGE,20000,36,13.59
4th person,3.0,IL,RENT,6400,36,6.71
supervisor,10.0,IL,MORTGAGE,25000,60,15.04
register nurse,2.0,FL,MORTGAGE,40000,60,9.92
respiratory therapist & sleep lab tech,5.0,SC,MORTGAGE,16000,36,13.59
senior inspector,10.0,CO,MORTGAGE,17000,60,9.43
,,FL,MORTGAGE,3000,36,19.03
dental hygienist,10.0,TN,MORTGAGE,20000,60,19.03
,,NV,MORTGAGE,12000,60,19.03
onsite medical ,3.0,NV,RENT,30000,60,28.72
operational risk manager,10.0,IL,MORTGAGE,5000,36,26.77
welder,1.0,CA,MORTGAGE,20000,60,15.05
maintenance adm assistant,10.0,KY,MORTGAGE,7000,36,6.08
warranty administrator,1.0,NV,MORTGAGE,10000,36,11.98
underwriter,5.0,NJ,MORTGAGE,21050,60,13.59
,,TX,MORTGAGE,3500,36,6.71
program analyst ,10.0,VA,RENT,8000,36,7.96
surveyor/cadd tech,7.0,PA,MORTGAGE,18000,60,12.61
associated ,1.0,NY,RENT,10000,36,11.98
inventory control specialist,5.0,IL,RENT,3200,36,7.34
inventory control,3.0,GA,RENT,10000,36,5.32
sr direct supoort professional,4.0,MO,MORTGAGE,6000,36,6.07
director of operations,4.0,CA,MORTGAGE,12000,36,12.62
hospitalist,3.0,TX,MORTGAGE,40000,60,9.44
teacher,9.0,AR,MORTGAGE,19000,60,19.03
controller,3.0,SC,MORTGAGE,28000,60,20.39
deputy,10.0,CA,MORTGAGE,15000,60,9.93
armed protection officer ,1.0,MD,OWN,2400,36,6.08
driver,2.0,MD,RENT,10000,36,21.45
supplies clerk,10.0,NJ,MORTGAGE,24000,60,15.04
loan consultant ,2.0,PA,RENT,9500,36,10.42
bank coordinator,2.0,CA,RENT,30000,36,12.61
,,MI,MORTGAGE,10000,60,18.06
senior recruiter,5.0,MD,RENT,15000,60,11.99
reader advisor,10.0,VA,RENT,35000,60,15.05
truck driver,2.0,TX,RENT,10000,36,15.05
sales,4.0,TX,MORTGAGE,40000,60,12.62
director of support services,10.0,NC,OWN,15000,36,6.72
rn,2.0,FL,MORTGAGE,20000,36,6.71
police recruit,0.0,TX,RENT,4500,36,15.05
lead teller,2.0,NE,RENT,16000,60,9.93
registered nurse,6.0,NC,MORTGAGE,10000,36,10.42
hes advisor ,2.0,TX,MORTGAGE,20000,60,22.91
sr admin assistant,10.0,TX,RENT,20600,60,30.79
president,2.0,CA,RENT,35000,60,15.05
hvac technician,10.0,GA,MORTGAGE,10000,36,6.07
nurse assistant,5.0,NC,MORTGAGE,12000,36,6.07
,,FL,OWN,1925,36,17.47
driver,8.0,NJ,MORTGAGE,15000,36,7.34
gourmet food server,10.0,NV,MORTGAGE,20000,36,13.59
,,NV,MORTGAGE,6000,36,6.72
program manager,10.0,CO,RENT,10000,36,5.31
deputy assessor ,8.0,WV,MORTGAGE,25000,36,9.93
service tech,10.0,MD,OWN,10000,36,9.92
senior technically writer,1.0,VA,RENT,6000,36,9.93
rn,10.0,VA,MORTGAGE,20000,60,14.07
escrow manager,10.0,CA,MORTGAGE,15000,36,7.97
quality control,0.0,PA,MORTGAGE,20000,36,5.31
medical billing account rep,10.0,FL,MORTGAGE,10500,60,9.93
truck driver,5.0,IL,MORTGAGE,11400,60,14.08
general manager,5.0,NH,MORTGAGE,5500,36,12.61
bartender,0.0,UT,RENT,5000,36,12.62
,,DE,OWN,9600,36,17.47
interpreter/translator/school enrolment ,0.0,MA,RENT,15000,36,12.62
accounts receivable manager,3.0,NJ,RENT,10000,36,6.71
asst to the director of theatre,3.0,KY,RENT,10450,60,19.42
