emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
police,10.0,AZ,MORTGAGE,110000.0,Source Verified,16.19,,,,1,19.0,2005,1,30,15,342336,60805,0,0,71.0,0,0,2,4,7.0,15,,0,5,22250,16,12,10,7,93.0,0,0,debt_consolidation,individual,20000,60,11.99,444.79,B,B5,Jan-2018,Current,whole,Cash,19005.39,1765.84,994.61,771.23,0.0
respiratory therapist & sleep lab tech,5.0,SC,MORTGAGE,122000.0,Source Verified,12.06,,,,0,37.0,1990,8,32,12,263800,43686,0,0,37.0,0,31245,2,11,1.0,12,0.0,0,3,12100,20,9,5,3,84.4,0,0,debt_consolidation,individual,16000,36,13.59,543.67,C,C2,Feb-2018,Current,whole,Cash,14525.3,2204.88,1474.7,730.18,0.0
operational risk manager,10.0,IL,MORTGAGE,210000.0,Verified,9.53,,,,0,,2003,2,18,7,322046,73705,0,0,,0,0,4,6,2.0,7,,0,2,17500,6,2,2,5,100.0,0,0,medical,individual,5000,36,26.77,203.51,E,E5,Feb-2018,Fully Paid,fractional,Cash,0.0,5202.6426724643,5000.0,202.64,0.0
director of operations,4.0,CA,MORTGAGE,106000.0,Verified,26.25,,,,0,,1997,2,36,15,405236,105548,0,0,,0,0,2,4,0.0,15,,0,8,62120,26,12,12,4,100.0,0,0,debt_consolidation,individual,12000,36,12.62,402.14,C,C1,Feb-2018,Current,whole,Cash,10878.71,1600.15,1121.29,478.86,0.0
hospitalist,3.0,TX,MORTGAGE,245000.0,Source Verified,24.9,,,,0,68.0,2002,1,37,20,772243,497876,0,0,68.0,0,0,13,4,6.0,20,0.0,0,2,74100,8,6,2,1,100.0,0,0,debt_consolidation,individual,40000,60,9.44,838.91,B,B1,Feb-2018,Current,whole,Cash,37878.15,3334.66,2121.85,1212.81,0.0
deputy,10.0,CA,MORTGAGE,140000.0,Not Verified,13.82,,,,0,,1993,2,21,12,631258,69647,0,0,,0,0,2,5,0.0,12,0.0,0,1,58100,13,9,3,2,100.0,0,0,debt_consolidation,individual,15000,60,9.93,318.19,B,B2,Jan-2018,Fully Paid,whole,Cash,0.0,15005.166875,15000.0,5.17,0.0
sales,4.0,TX,MORTGAGE,130000.0,Source Verified,13.51,,,,0,,1991,2,15,11,403408,49857,0,0,,0,667,2,9,8.0,11,0.0,0,2,34300,7,6,4,2,100.0,0,0,home_improvement,individual,40000,60,12.62,902.37,C,C1,Feb-2018,Current,whole,Cash,38042.58,3581.44,1957.42,1624.02,0.0
rn,2.0,FL,MORTGAGE,190000.0,Not Verified,2.68,,,,0,,2004,0,17,9,175300,18870,0,0,,0,0,0,4,16.0,9,0.0,0,4,78300,10,8,5,1,100.0,0,0,debt_consolidation,individual,20000,36,6.71,614.9,A,A3,Mar-2018,Current,whole,Cash,18991.05,1214.89,1008.95,205.94,0.0
hes advisor ,2.0,TX,MORTGAGE,115000.0,Verified,18.72,,,,0,26.0,2005,6,21,15,394519,69124,0,0,42.0,0,0,2,11,1.0,15,,0,8,40150,12,10,5,2,76.0,0,0,debt_consolidation,individual,20000,60,22.91,562.78,E,E1,Feb-2018,Current,whole,Cash,19255.22,2225.66,744.78,1480.88,0.0
president,2.0,CA,RENT,127000.0,Source Verified,9.12,,,,1,7.0,2013,0,11,9,74518,34313,0,0,,0,0,1,2,18.0,9,0.0,0,3,32300,9,8,4,0,100.0,0,0,major_purchase,individual,35000,60,15.05,833.57,C,C4,Feb-2018,Current,whole,Cash,33396.01,3305.02,1603.99,1701.03,0.0
program manager,10.0,CO,RENT,188000.0,Not Verified,11.64,,,,0,,2005,1,26,24,80444,45181,0,0,,0,0,2,10,6.0,24,0.0,0,15,28500,22,22,20,0,100.0,0,0,debt_consolidation,individual,10000,36,5.31,301.11,A,A1,Feb-2018,Current,whole,DirectPay,8965.72,1201.49,1034.28,167.21,0.0
senior technically writer,1.0,VA,RENT,105000.0,Not Verified,16.73,,,,0,,1990,0,6,6,63600,53168,0,0,,0,0,1,0,,6,0.0,0,4,51100,5,5,4,0,100.0,0,0,debt_consolidation,individual,6000,36,9.93,193.41,B,B2,Feb-2018,Current,fractional,Cash,5417.78,768.68,582.22,186.46,0.0
rn,10.0,VA,MORTGAGE,114000.0,Verified,28.13,,,,1,15.0,2001,1,28,17,451597,88594,0,0,15.0,0,0,6,8,12.0,17,0.0,0,2,33000,14,10,8,5,96.4,0,0,credit_card,individual,20000,60,14.07,466.1,C,C3,Mar-2018,Current,whole,Cash,19297.02,1367.03,702.98,664.05,0.0
escrow manager,10.0,CA,MORTGAGE,150000.0,Source Verified,7.89,,,,0,,1992,1,22,8,96633,43253,0,0,,0,0,2,6,2.0,8,0.0,0,4,54000,18,6,4,0,100.0,0,0,medical,individual,15000,36,7.97,469.84,A,A5,Feb-2018,Current,whole,Cash,13504.32,1866.08,1495.68,370.4,0.0
it support,8.0,TX,MORTGAGE,165000.0,Source Verified,11.14,,,,0,,2000,2,24,8,103527,70510,0,0,,0,0,2,5,12.0,8,0.0,0,3,43500,9,6,4,2,100.0,0,0,other,individual,25000,36,6.07,761.35,A,A2,Feb-2018,Current,whole,Cash,22441.1,3036.97,2558.9,478.07,0.0
physician assistant,10.0,MO,MORTGAGE,152000.0,Not Verified,21.09,,,,0,48.0,2001,5,44,18,476029,121076,0,0,,0,0,3,9,2.0,18,0.0,0,4,170900,27,13,6,4,97.7,0,0,small_business,individual,40000,60,13.59,922.25,C,C2,Jan-2018,Current,whole,Cash,37600.0,4550.85,2400.0,2150.85,0.0
mechanic,10.0,NY,MORTGAGE,147000.0,Source Verified,5.16,,,,0,56.0,2005,6,11,8,386381,23551,0,0,,0,0,1,6,1.0,8,0.0,0,5,20500,6,6,6,1,81.8,0,0,debt_consolidation,individual,30000,60,16.01,729.71,C,C5,Mar-2018,Current,whole,Cash,29336.68,1432.74,663.32,769.42,0.0
superintendent -customer operations,10.0,NJ,OWN,140000.0,Verified,28.53,,,,0,,1983,1,40,14,454500,177350,0,0,,0,0,1,5,6.0,14,0.0,0,7,77500,23,12,11,3,100.0,0,0,debt_consolidation,individual,15000,36,22.91,579.95,E,E1,Feb-2018,Current,fractional,Cash,13791.64,2281.62,1208.36,1073.26,0.0
territory manager,3.0,TX,MORTGAGE,190000.0,Not Verified,15.84,,,,0,,2000,0,15,10,619105,84019,0,0,,0,0,2,5,18.0,10,0.0,0,3,62000,9,6,5,2,100.0,0,0,debt_consolidation,individual,12000,36,6.08,365.5,A,A2,Jan-2018,Current,whole,Cash,10771.9,1474.16,1228.1,246.06,0.0
sr engineer,10.0,CO,RENT,126000.0,Source Verified,3.82,,,,0,,2003,0,9,3,49529,7020,0,0,,0,0,1,0,,3,0.0,0,1,27200,5,2,1,0,100.0,0,0,debt_consolidation,individual,16500,36,5.32,496.9,A,A1,Feb-2018,Current,whole,Cash,14793.69,1982.72,1706.31,276.41,0.0
audit manager,0.0,TX,MORTGAGE,101000.0,Source Verified,18.5,,,,1,5.0,2005,2,41,15,343573,39168,0,0,5.0,0,0,4,8,11.0,15,0.0,0,4,20000,26,10,5,2,95.1,0,0,debt_consolidation,individual,20000,60,26.77,607.97,E,E5,Mar-2018,Current,whole,Cash,19503.68,1764.42,496.32,1268.1,0.0
cfo,4.0,TN,MORTGAGE,113000.0,Not Verified,15.28,,,,0,,2002,6,29,21,795794,78028,0,1,,0,0,9,7,0.0,21,0.0,0,4,16600,13,10,7,3,100.0,0,1,home_improvement,individual,10800,60,9.44,226.51,B,B1,Jan-2018,Current,whole,Cash,10081.03,1126.89,718.97,407.92,0.0
ceo,4.0,CA,RENT,250000.0,Source Verified,1.12,,,,0,75.0,2000,0,12,9,27800,5459,0,0,,0,0,0,3,19.0,9,0.0,0,5,20200,10,8,6,0,100.0,0,0,debt_consolidation,individual,30000,36,10.9,980.75,B,B4,Mar-2018,Current,whole,Cash,28577.07,1925.17,1422.93,502.24,0.0
school administrator,10.0,MO,MORTGAGE,120000.0,Source Verified,21.45,,,,0,,1999,0,34,10,179741,165182,0,0,,0,0,2,8,14.0,10,0.0,0,3,28500,20,8,6,6,100.0,0,0,debt_consolidation,individual,16000,60,13.59,368.9,C,C2,Jan-2018,Current,whole,Cash,15040.0,1832.42,960.0,872.42,0.0
planning supervisor ,10.0,NY,MORTGAGE,155000.0,Verified,16.13,,,,0,,2005,2,33,12,294645,96202,0,0,,0,0,6,11,6.0,12,0.0,0,1,24500,13,4,2,2,100.0,0,0,major_purchase,individual,25000,36,9.93,805.86,B,B2,Feb-2018,Current,whole,Cash,22574.16,3209.65,2425.84,783.81,0.0
senior engagement lead,10.0,NJ,OWN,230000.0,Source Verified,9.19,,,,0,38.0,1998,2,20,8,441037,53298,0,0,38.0,0,0,2,6,3.0,8,0.0,0,3,38500,12,4,3,3,72.2,0,0,debt_consolidation,individual,12000,36,10.91,392.36,B,B4,Feb-2018,Current,whole,Cash,10851.41,1562.17,1148.59,413.58,0.0
field service engineer ,1.0,MA,RENT,110000.0,Not Verified,11.62,,,,3,19.0,2006,6,15,6,50939,19887,0,0,23.0,0,0,2,1,4.0,6,0.0,0,3,12700,8,4,3,2,90.9,0,0,credit_card,individual,8500,36,7.34,263.78,A,A4,Mar-2018,Current,whole,DirectPay,7860.74,787.87,639.26,148.61,0.0
automotive service lane manager,10.0,WV,OWN,172000.0,Verified,24.31,,,,0,,2003,1,32,17,764559,110739,0,0,,0,0,4,7,4.0,17,0.0,0,6,45200,12,11,8,4,100.0,0,0,home_improvement,individual,36000,60,15.05,857.39,C,C4,Feb-2018,Current,whole,Cash,34345.64,3399.46,1654.36,1745.1,0.0
military officer captain,10.0,GA,RENT,145000.0,Verified,14.66,155000.0,Source Verified,14.98,0,38.0,2003,0,29,11,206996,61746,0,0,47.0,0,0,3,4,23.0,11,0.0,0,4,11000,10,5,4,3,72.4,0,0,debt_consolidation,joint,40000,36,6.72,1229.97,A,A3,Feb-2018,Current,whole,Cash,35942.19,4890.01,4057.81,832.2,0.0
head of product design,2.0,CA,RENT,182000.0,Not Verified,6.06,,,,1,10.0,2005,2,27,9,56000,34611,0,0,49.0,0,0,0,0,1.0,9,0.0,0,4,51200,23,9,5,0,85.2,0,0,credit_card,individual,32000,60,14.08,745.92,C,C3,Jan-2018,Current,whole,Cash,29785.98,4165.75,2214.02,1951.73,0.0
supply chain manager,0.0,AR,RENT,150000.0,Source Verified,7.82,,,,0,,2003,2,62,22,381481,93341,0,0,,0,0,3,6,5.0,22,0.0,0,1,39900,28,18,3,3,100.0,0,0,medical,individual,13000,36,5.32,391.5,A,A1,Feb-2018,Current,whole,Cash,11655.63,1562.16,1344.37,217.79,0.0
commercial insurance broker,5.0,CA,MORTGAGE,115000.0,Source Verified,12.89,,,,0,26.0,1986,2,32,12,527790,88149,0,0,26.0,0,0,9,2,4.0,12,0.0,0,0,0,7,2,0,1,64.5,0,0,small_business,individual,40000,60,15.04,952.44,C,C4,Mar-2018,Current,whole,Cash,38629.65,2823.9,1370.35,1453.55,0.0
it director,10.0,CA,MORTGAGE,182000.0,Source Verified,16.72,,,,0,25.0,2003,0,14,7,604303,78003,0,0,51.0,0,0,3,1,14.0,7,0.0,0,2,25500,6,3,2,2,84.6,0,0,debt_consolidation,individual,40000,36,7.97,1252.91,A,A5,Feb-2018,Current,whole,Cash,36011.51,4976.22,3988.49,987.73,0.0
sales manager,4.0,NC,MORTGAGE,121500.0,Verified,39.34,168300.0,Verified,37.73,0,,1998,0,15,13,249000,145985,0,0,,0,0,3,3,,13,0.0,0,4,50400,11,10,7,1,100.0,0,0,debt_consolidation,joint,32175,36,12.61,1078.07,C,C1,Mar-2018,Current,whole,Cash,29931.7,3189.13,2243.3,945.83,0.0
owner,4.0,MS,MORTGAGE,170000.0,Not Verified,14.23,,,,0,,1997,1,36,16,296303,95665,0,0,,0,0,4,9,12.0,16,0.0,0,5,34600,15,11,7,1,100.0,0,0,debt_consolidation,individual,25000,60,9.93,530.32,B,B2,Jan-2018,Current,whole,Cash,23355.79,2624.02,1644.21,979.81,0.0
pilot,10.0,MI,MORTGAGE,318000.0,Source Verified,8.37,,,,0,,2002,9,8,7,125809,90942,0,1,,0,0,4,3,7.0,7,0.0,0,2,7100,4,3,2,0,100.0,0,1,debt_consolidation,individual,25000,60,19.03,648.93,D,D3,Jan-2018,Fully Paid,whole,Cash,0.0,26813.835028791,25000.0,1813.84,0.0
sales,10.0,CA,RENT,150000.0,Source Verified,9.33,160000.0,Source Verified,8.95,0,,2000,0,13,5,55420,38733,0,1,,0,0,2,1,,5,0.0,0,2,14100,6,3,3,0,100.0,0,1,debt_consolidation,joint,14000,36,9.93,451.29,B,B2,Jan-2018,Current,whole,Cash,12610.69,1869.63,1389.31,435.2,45.12
consultant,1.0,NC,MORTGAGE,170000.0,Verified,22.66,,,,0,,1992,2,31,22,349067,101835,0,0,,0,305,4,10,1.0,22,0.0,0,11,57200,19,17,12,3,100.0,0,0,debt_consolidation,individual,24000,36,13.58,815.38,C,C2,Mar-2018,Current,whole,Cash,22350.13,2428.03,1649.87,778.16,0.0
analyst,2.0,VA,RENT,125000.0,Source Verified,2.47,,,,0,,2012,1,11,6,88500,11361,0,0,,0,0,1,6,9.0,6,0.0,0,2,78500,8,5,2,0,100.0,0,0,credit_card,individual,25000,60,12.61,563.85,C,C1,Mar-2018,Current,whole,Cash,24087.05,1674.04,912.95,761.09,0.0
rapid prototyping manager,3.0,CA,RENT,205000.0,Source Verified,14.04,,,,1,21.0,2003,2,27,8,96538,65694,0,1,21.0,0,0,5,4,6.0,7,0.0,0,1,4000,11,3,2,3,84.6,0,1,debt_consolidation,individual,26000,36,10.42,844.09,B,B3,Jan-2018,Current,fractional,Cash,22854.22,4205.4,3145.78,1059.62,0.0
