emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
customer service,1.0,PA,RENT,30000.0,Not Verified,10.16,,,,0,,2007,0,4,4,25400,4997,0,1,,0,0,1,1,15.0,4,0.0,0,2,19400,3,3,2,0,100.0,1,0,debt_consolidation,individual,21600,36,6.72,664.19,A,A3,Jan-2018,Current,whole,Cash,18853.26,3312.89,2746.74,566.15,0.0
,,KY,OWN,34000.0,Not Verified,6.46,,,,1,3.0,1990,6,32,12,42100,3898,0,0,60.0,0,0,0,2,5.0,12,0.0,0,1,27200,27,12,5,3,78.1,0,0,other,individual,5000,36,6.72,153.75,A,A3,Jan-2018,Current,whole,Cash,4256.71,873.13,743.29,129.84,0.0
4th person,3.0,IL,RENT,30000.0,Not Verified,18.91,,,,0,,2001,0,9,6,33114,17768,0,0,,0,0,1,5,17.0,6,0.0,0,3,14700,7,5,3,0,100.0,0,0,credit_card,individual,6400,36,6.71,196.77,A,A3,Mar-2018,Current,fractional,Cash,6077.13,391.15,322.87,68.28,0.0
register nurse,2.0,FL,MORTGAGE,91900.0,Source Verified,1.82,,,,0,,2000,4,26,10,450371,55939,0,0,,0,0,1,7,4.0,10,0.0,0,2,9000,15,8,3,3,92.0,0,0,other,individual,40000,60,9.92,848.31,B,B2,Mar-2018,Current,whole,Cash,38434.2,2500.84,1565.8,935.04,0.0
senior inspector,10.0,CO,MORTGAGE,88000.0,Source Verified,3.67,,,,0,44.0,1984,6,65,21,259915,14387,0,0,,0,0,0,7,0.0,21,0.0,0,4,70800,53,20,6,3,98.4,0,0,credit_card,individual,17000,60,9.43,356.46,B,B1,Feb-2018,Current,whole,DirectPay,16326.13,1060.47,673.87,386.6,0.0
maintenance adm assistant,10.0,KY,MORTGAGE,50000.0,Not Verified,15.6,,,,0,,2003,0,13,9,70313,18128,0,0,,0,0,2,4,13.0,9,0.0,0,2,18800,7,6,4,1,100.0,0,0,credit_card,individual,7000,36,6.08,213.21,A,A2,Jan-2018,Current,fractional,Cash,6102.23,1063.69,897.77,165.92,0.0
,,TX,MORTGAGE,40280.0,Verified,7.27,,,,0,,1997,1,10,4,188450,6103,0,0,,0,0,1,0,9.0,4,0.0,0,1,7500,7,2,1,1,90.0,0,0,home_improvement,individual,3500,36,6.71,107.61,A,A3,Mar-2018,Current,whole,Cash,3323.42,223.71,176.58,47.13,0.0
program analyst ,10.0,VA,RENT,82000.0,Not Verified,17.31,,,,0,67.0,1999,1,26,7,65425,69177,0,0,67.0,0,0,2,3,4.0,7,0.0,0,2,11500,14,5,5,2,88.0,0,0,credit_card,individual,8000,36,7.96,250.55,A,A5,Mar-2018,Current,fractional,Cash,7403.61,744.57,596.39,148.18,0.0
associated ,1.0,NY,RENT,55000.0,Source Verified,13.68,,,,0,44.0,2013,7,17,11,41891,26637,0,0,44.0,0,0,1,11,3.0,11,0.0,0,3,17700,16,10,4,0,100.0,0,0,credit_card,individual,10000,36,11.98,332.05,B,B5,Mar-2018,Current,whole,Cash,9432.28,750.79,567.72,183.07,0.0
inventory control specialist,5.0,IL,RENT,33000.0,Not Verified,19.38,,,,0,,2013,0,9,8,43876,22920,0,0,,0,0,5,2,19.0,8,0.0,0,3,17600,3,3,3,0,100.0,0,0,debt_consolidation,individual,3200,36,7.34,99.31,A,A4,Feb-2018,Current,whole,Cash,2557.44,696.63,642.56,54.07,0.0
