country,tb_cases_smear_0_14
Afghanistan,588
Albania,0
Algeria,89
American Samoa,NA
Andorra,0
Angola,982
Anguilla,0
Antigua and Barbuda,0
Argentina,126
Armenia,1
Aruba,NA
Australia,4
Austria,2
Azerbaijan,12
Bahamas,0
Bahrain,1
Bangladesh,966
Barbados,0
Belarus,1
Belgium,8
Belize,1
Benin,62
Bermuda,0
Bhutan,12
Bolivia (Plurinational State of),200
"Bonaire, Saint Eustatius and Saba",0
Bosnia and Herzegovina,1
Botswana,103
Brazil,580
British Virgin Islands,0
Brunei Darussalam,0
Bulgaria,0
Burkina Faso,52
Burundi,119
Cabo Verde,0
Cambodia,53
Cameroon,292
Canada,7
Cayman Islands,0
Central African Republic,174
Chad,119
Chile,8
China,1091
"China, Hong Kong SAR",5
"China, Macao SAR",1
Colombia,171
Comoros,NA
Congo,109
Cook Islands,0
Costa Rica,4
Cote d'Ivoire,367
Croatia,0
Cuba,1
Curacao,0
Cyprus,0
Czech Republic,1
Democratic People's Republic of Korea,520
Democratic Republic of the Congo,3138
Denmark,3
Djibouti,42
Dominica,0
Dominican Republic,41
Ecuador,96
Egypt,31
El Salvador,10
Equatorial Guinea,NA
Eritrea,6
Estonia,0
Ethiopia,NA
Fiji,4
Finland,1
France,22
French Polynesia,0
Gabon,71
Gambia,23
Georgia,9
Germany,10
Ghana,81
Greece,5
Greenland,2
Grenada,NA
Guam,0
Guatemala,NA
Guinea,77
Guinea-Bissau,14
Guyana,9
Haiti,286
Honduras,33
Hungary,2
Iceland,0
India,12957
Indonesia,1703
Iran (Islamic Republic of),59
Iraq,63
Ireland,2
Israel,0
Italy,2
Jamaica,2
Japan,4
Jordan,1
Kazakhstan,25
Kenya,996
Kiribati,8
Kuwait,3
Kyrgyzstan,12
Lao People's Democratic Republic,21
Latvia,1
Lebanon,4
Lesotho,45
Liberia,126
Libya,12
Lithuania,1
Luxembourg,0
Madagascar,419
Malawi,123
Malaysia,179
Maldives,0
Mali,59
Malta,1
Marshall Islands,0
Mauritania,47
Mauritius,2
Mexico,267
Micronesia (Federated States of),8
Monaco,NA
Mongolia,18
Montenegro,0
Montserrat,0
Morocco,131
Mozambique,NA
Myanmar,338
Namibia,142
Nauru,NA
Nepal,460
Netherlands,5
New Caledonia,NA
New Zealand,3
Nicaragua,0
Niger,88
Nigeria,1187
Niue,0
Northern Mariana Islands,0
Norway,1
Oman,0
Pakistan,3947
Palau,0
Panama,28
Papua New Guinea,109
Paraguay,20
Peru,NA
Philippines,1049
Poland,2
Portugal,7
Puerto Rico,0
Qatar,2
Republic of Korea,33
Republic of Moldova,3
Romania,36
Russian Federation,48
Rwanda,62
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,1
San Marino,NA
Sao Tome and Principe,1
Saudi Arabia,41
Senegal,209
Serbia,5
Seychelles,0
Sierra Leone,150
Singapore,1
Sint Maarten (Dutch part),0
Slovakia,0
Slovenia,0
Solomon Islands,8
Somalia,250
South Africa,2677
South Sudan,100
Spain,25
Sri Lanka,24
Sudan,232
Suriname,2
Swaziland,57
Sweden,0
Switzerland,0
Syrian Arab Republic,12
Tajikistan,24
Thailand,117
The Former Yugoslav Republic of Macedonia,0
Timor-Leste,19
Togo,26
Tokelau,NA
Tonga,0
Trinidad and Tobago,2
Tunisia,17
Turkey,50
Turkmenistan,1
Turks and Caicos Islands,0
Tuvalu,NA
Uganda,636
Ukraine,19
United Arab Emirates,0
United Kingdom of Great Britain and Northern Ireland,25
United Republic of Tanzania,493
United States of America,24
Uruguay,5
US Virgin Islands,NA
Uzbekistan,19
Vanuatu,3
Venezuela (Bolivarian Republic of),55
Viet Nam,142
Wallis and Futuna Islands,NA
West Bank and Gaza Strip,0
Yemen,105
Zambia,321
Zimbabwe,293
