state,county,pop_20,area_sq_miles,hh_inc_21,econ_type,unemp_20,foreign_born_num,pop_change_2010_2020,pct_emp_change_2010_2021
AL,"Autauga, AL",58877.0,594.4561071325427,66444.0,Nonspecialized,5.4,1241.0,7.758699675651903,9.0
AL,"Baldwin, AL",233140.0,1589.8360142981358,65658.0,Recreation,6.2,7938.0,27.15935588291773,28.2
AL,"Barbour, AL",25180.0,885.0080189560724,38649.0,Manufacturing,7.8,659.0,-8.13635866992024,-13.9
AL,"Bibb, AL",22223.0,622.4695701292825,48454.0,Nonspecialized,7.3,245.0,-2.7143792275801877,4.2
AL,"Blount, AL",59081.0,644.8906674471078,56894.0,Nonspecialized,4.6,2650.0,3.1610899829035968,9.0
AL,"Bullock, AL",10309.0,622.8150350503554,32027.0,Manufacturing,6.0,125.0,-5.103536741799523,1.3
AL,"Butler, AL",19045.0,776.8385590975711,39442.0,Nonspecialized,9.6,320.0,-9.051415477156635,3.9
AL,"Calhoun, AL",116266.0,605.8893427305454,48166.0,Federal/State Government,7.8,2939.0,-1.79722025436022,-3.5
AL,"Chambers, AL",34678.0,596.5609110930244,45447.0,Nonspecialized,7.5,693.0,1.6279409615665645,20.6
AL,"Cherokee, AL",24958.0,553.5241282971195,46365.0,Nonspecialized,5.1,508.0,-3.917041825387664,12.1
AL,"Chilton, AL",45024.0,692.8367370814074,55142.0,Nonspecialized,5.5,1624.0,3.141397245835529,10.0
AL,"Choctaw, AL",12619.0,913.479167084944,40601.0,Manufacturing,7.4,107.0,-8.615340212136518,3.9
AL,"Clarke, AL",22995.0,1238.4204428746389,45447.0,Manufacturing,9.9,159.0,-10.629814578252622,-0.7
AL,"Clay, AL",14193.0,603.9624222197168,47036.0,Manufacturing,4.5,88.0,2.1820269882285386,18.2
AL,"Cleburne, AL",15035.0,560.1054726894488,49769.0,Nonspecialized,5.1,199.0,0.56104728827144,5.5
AL,"Coffee, AL",53565.0,678.9861296654657,55052.0,Nonspecialized,4.9,2146.0,7.041322975894931,10.0
AL,"Colbert, AL",57236.0,592.9534306722657,53341.0,Nonspecialized,7.3,962.0,5.142573675314177,4.8
AL,"Conecuh, AL",11552.0,850.2793773561885,35621.0,Nonspecialized,8.0,94.0,-12.329906259449652,0.6
AL,"Coosa, AL",10383.0,650.9091791158878,45954.0,Manufacturing,6.1,31.0,-9.983534101741919,6.7
AL,"Covington, AL",37469.0,1030.5706968526495,44188.0,Nonspecialized,5.5,352.0,-0.5163511187607573,0.0
AL,"Crenshaw, AL",13157.0,608.8648916520076,38037.0,Manufacturing,6.3,211.0,-5.12009204659859,4.8
AL,"Cullman, AL",88044.0,734.7380806397558,55036.0,Nonspecialized,4.8,1845.0,9.277914583488794,17.6
AL,"Dale, AL",49214.0,561.1130885548505,50086.0,Manufacturing,5.4,1653.0,-1.840759387872878,0.4
AL,"Dallas, AL",38190.0,978.7379740755556,33159.0,Manufacturing,11.8,353.0,-12.227293473299863,-12.9
AL,"DeKalb, AL",71630.0,777.0770605886977,45062.0,Manufacturing,5.0,5377.0,0.7017395828938672,11.9
AL,"Elmore, AL",88116.0,618.5147209176258,63147.0,Nonspecialized,5.3,1956.0,10.93779554367426,9.3
AL,"Escambia, AL",36665.0,945.40791733398,40506.0,Nonspecialized,6.8,319.0,-4.076306792974765,1.2
AL,"Etowah, AL",103393.0,535.1054792531858,46308.0,Nonspecialized,8.5,2457.0,-0.9518337642439912,-4.1
AL,"Fayette, AL",16307.0,627.6837012372258,46122.0,Nonspecialized,5.6,142.0,-5.336117394582681,8.3
AL,"Franklin, AL",32063.0,633.9201988580642,45440.0,Manufacturing,5.0,3060.0,1.2900580368407772,9.3
AL,"Geneva, AL",26675.0,574.4846817823094,43206.0,Nonspecialized,4.6,432.0,-0.48898842851810376,2.9
AL,"Greene, AL",7704.0,647.0230970182101,30225.0,Nonspecialized,11.8,56.0,-14.538419016030957,-1.6
AL,"Hale, AL",14792.0,643.9901092205832,41995.0,Nonspecialized,10.3,84.0,-6.186548223350254,1.2
AL,"Henry, AL",17167.0,561.7630822999952,56389.0,Nonspecialized,5.4,140.0,-0.9016298693792625,2.8
AL,"Houston, AL",107190.0,579.8259447534119,48701.0,Nonspecialized,6.0,2563.0,5.568849892168159,7.2
AL,"Jackson, AL",52519.0,1078.014513580758,46998.0,Manufacturing,5.9,914.0,-1.217427245570857,3.7
AL,"Jefferson, AL",673341.0,1111.5310735030432,55210.0,Nonspecialized,6.9,25337.0,2.4686164509632995,6.8
AL,"Lamar, AL",13943.0,604.8463097126319,44265.0,Manufacturing,5.4,97.0,-4.0648173578687175,9.4
AL,"Lauderdale, AL",93610.0,668.0141680193113,52222.0,Nonspecialized,6.2,1970.0,0.9222405591690127,3.7
AL,"Lawrence, AL",33063.0,690.6844155262495,55555.0,Manufacturing,5.5,267.0,-3.686770144733394,6.9
AL,"Lee, AL",174601.0,607.542614869258,54188.0,Federal/State Government,5.8,9788.0,24.238664641667913,22.3
AL,"Limestone, AL",104322.0,559.9627928778049,69207.0,Federal/State Government,4.7,3754.0,25.11173926699041,30.9
AL,"Lowndes, AL",10297.0,716.085099235981,36993.0,Manufacturing,14.5,69.0,-8.744136649260996,-8.6
AL,"Macon, AL",19476.0,608.6652115762698,35354.0,Federal/State Government,10.5,140.0,-8.950214432220772,-2.1
AL,"Madison, AL",389696.0,801.6008568379467,78386.0,Federal/State Government,5.1,21143.0,15.931973561203186,19.9
AL,"Marengo, AL",19264.0,976.898401073673,42048.0,Nonspecialized,6.9,302.0,-8.103866457411899,4.9
AL,"Marion, AL",29287.0,742.3432313199907,44636.0,Manufacturing,5.6,398.0,-4.662724200675851,13.0
AL,"Marshall, AL",97608.0,565.8450282395131,50858.0,Manufacturing,4.7,7102.0,4.937700899816166,15.7
AL,"Mobile, AL",414250.0,1229.3740893780202,49848.0,Nonspecialized,8.7,13092.0,0.43996009607934294,6.6
AL,"Monroe, AL",19723.0,1025.6687181562231,40997.0,Manufacturing,9.0,132.0,-14.288191434021154,-2.9
AL,"Montgomery, AL",228448.0,785.3495240132387,50645.0,Federal/State Government,8.6,11173.0,-0.17831995570340464,3.4
AL,"Morgan, AL",123336.0,579.6696536817931,56340.0,Manufacturing,5.0,5455.0,3.289815047284292,11.6
AL,"Perry, AL",8452.0,719.6698208640349,31522.0,Nonspecialized,12.0,93.0,-19.63931640071759,-9.1
AL,"Pickens, AL",19062.0,881.4075737030441,43926.0,Nonspecialized,7.3,835.0,-3.155069381140484,7.4
AL,"Pike, AL",32981.0,672.0669628585151,38945.0,Federal/State Government,5.5,1303.0,0.3343566673759081,9.0
AL,"Randolph, AL",21971.0,580.5503183798535,45889.0,Nonspecialized,5.3,319.0,-4.12866058569371,8.6
AL,"Russell, AL",59226.0,641.1815398372502,44849.0,Manufacturing,5.8,1832.0,11.777815551400456,6.1
AL,"St. Clair, AL",91333.0,631.5703902875225,63015.0,Nonspecialized,5.4,1417.0,8.984005837809386,16.3
AL,"Shelby, AL",223708.0,785.4396062838902,85457.0,Nonspecialized,4.2,11125.0,14.321449624522645,21.4
AL,"Sumter, AL",12295.0,903.8261617428343,29490.0,Federal/State Government,7.7,119.0,-10.302986267528883,-14.0
AL,"Talladega, AL",82069.0,736.8167620853842,47331.0,Manufacturing,7.8,1538.0,-0.1725583599664605,12.3
AL,"Tallapoosa, AL",41229.0,716.5276460740358,47444.0,Nonspecialized,7.6,723.0,-0.7328911956939638,3.4
AL,"Tuscaloosa, AL",227153.0,1320.8482703394766,56274.0,Federal/State Government,7.3,7907.0,16.634473121814892,14.0
AL,"Walker, AL",65100.0,791.0298039990919,46343.0,Nonspecialized,6.5,833.0,-2.508094236306939,1.3
AL,"Washington, AL",15296.0,1080.2030546087472,49795.0,Manufacturing,8.9,80.0,-12.473693191513565,-1.8
AL,"Wilcox, AL",10518.0,887.857611309396,30071.0,Manufacturing,16.2,36.0,-9.168808911739502,3.8
AL,"Winston, AL",23491.0,612.9980023073466,47176.0,Manufacturing,5.2,408.0,-3.85557915373305,18.1
AK,"Aleutian Islands, AK",,,,,,,,
AK,"Aleutians East, AK",3418.0,6985.234114212112,71492.0,Manufacturing,4.1,842.0,8.882521489971348,30.8
AK,"Aleutians West, AK",5206.0,4393.026154947436,86050.0,Manufacturing,4.7,2379.0,-5.916202121920517,-6.6
AK,"Anchorage, AK",290637.0,1706.7999345942915,86152.0,Federal/State Government,7.8,32206.0,-0.1984058994058103,-3.7
AK,"Bethel, AK",18648.0,40627.1397257439,54849.0,Nonspecialized,12.2,424.0,9.716099453359197,-0.7
AK,"Bristol Bay, AK",831.0,481.9774512468784,88516.0,Manufacturing,7.9,67.0,-15.346038114343031,-6.6
AK,"Copper River, AK",2616.0,24692.135867810972,61288.0,,10.6,38.0,,
AK,"Denali, AK",1611.0,12641.04914076822,85251.0,Recreation,17.2,192.0,-11.336254107338444,-13.4
AK,"Dillingham, AK",4839.0,18333.99430499292,58389.0,Manufacturing,8.8,124.0,0.20631318341242005,-16.1
AK,"Fairbanks North Star, AK",95286.0,7334.809355101259,76754.0,Federal/State Government,6.7,4994.0,-1.9737448888615612,-4.0
AK,"Haines, AK",2085.0,2343.39269332522,63155.0,Recreation,16.4,131.0,-17.065390749601274,-11.3
AK,"Hoonah-Angoon, AK",2361.0,6555.25797957365,56555.0,Federal/State Government,13.9,58.0,10.0,15.0
AK,"Juneau , AK",32195.0,2704.030611724842,89922.0,Federal/State Government,7.0,2864.0,3.1334932054356517,-5.0
AK,"Kenai Peninsula, AK",58893.0,16017.419133602163,71111.0,Recreation,9.5,1894.0,6.135379061371841,7.0
AK,"Ketchikan Gateway, AK",13902.0,4856.926952557309,73260.0,Federal/State Government,10.2,1215.0,3.494843065964235,-5.5
AK,"Kodiak Island, AK",13023.0,6688.860037575464,80863.0,Manufacturing,6.6,2493.0,-3.6124190700412004,-5.7
AK,"Kusilvak, AK",8357.0,17077.06315241615,38203.0,Nonspecialized,20.6,24.0,,-10.8
AK,"Lake and Peninsula, AK",1454.0,23831.834249425094,51205.0,Recreation,11.4,55.0,-9.50337216431637,14.8
AK,"Matanuska-Susitna, AK",107460.0,24706.966639999875,80164.0,Recreation,8.7,3818.0,20.322490027529636,20.8
AK,"Nome, AK",10032.0,22969.463298671653,65578.0,Nonspecialized,10.9,167.0,5.836493889591235,3.1
AK,"North Slope, AK",10993.0,88823.62681178446,95041.0,Mining,6.1,795.0,16.977730646871684,-24.8
AK,"Northwest Arctic, AK",7784.0,35663.282153044725,67586.0,Mining,12.6,133.0,3.5889937524923567,1.1
AK,"Petersburg, AK",3401.0,2900.6543065064393,71878.0,Nonspecialized,9.0,553.0,-10.930537352555701,-10.9
AK,"Prince of Wales-Hyder, AK",5725.0,5267.724885211824,56226.0,Recreation,9.7,149.0,3.4898363014930744,14.9
AK,"Prince of Wales-Outer Ketchikan, AK",,,,,,,,
AK,"Sitka , AK",8428.0,2870.05799370499,78248.0,Nonspecialized,7.3,831.0,-4.762977142213715,0.9
