country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100
Angola,AGO,19000,20000,21000,22000,23000,23000,24000,24000,24000,24000,24000,23000
Argentina,ARG,7000,7300,7400,7500,7600,7700,7700,7600,7500,7500,NA,5600
Armenia,ARM,120,120,120,120,120,120,120,120,300,300,NA,350
Australia,AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100
Austria,AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200
Azerbaijan,AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
Burundi,BDI,7300,6900,6900,7200,7400,6900,6000,5100,4400,3700,3200,3000
Belgium,BEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300
Benin,BEN,5500,5300,5100,5000,5000,5100,4800,4800,4900,4900,4900,4900
Burkina Faso,BFA,13000,13000,12000,8500,7900,7300,6900,6900,7000,8000,NA,NA
Bangladesh,BGD,350,350,350,750,750,750,750,750,750,750,1100,1300
Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Bahamas,BHS,750,750,750,750,750,750,750,350,350,350,350,350
Belarus,BLR,1300,2100,2800,3000,2800,2400,2100,1900,1800,1800,1800,1900
Belize,BLZ,350,350,350,350,350,350,350,350,350,350,350,350
Bolivia,BOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300
Brazil,BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000
Barbados,BRB,160,160,160,60,60,60,60,60,60,60,60,60
Bhutan,BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350
Botswana,BWA,28000,26000,24000,22000,19000,17000,16000,16000,15000,14000,NA,NA
Central African Republic,CAF,15000,14000,13000,11000,10000,9200,8100,6800,6000,5200,NA,NA
Canada,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600
Switzerland,CHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
Chile,CHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400
Cote d'Ivoire,CIV,50000,46000,42000,38000,35000,30000,27000,24000,21000,17000,NA,NA
Cameroon,CMR,59000,57000,58000,58000,56000,54000,52000,50000,47000,46000,43000,43000
"Congo, Rep.",COG,7300,7500,7500,7500,7500,7100,6600,6500,6600,6500,NA,NA
Colombia,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000
Costa Rica,CRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750
Cuba,CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700
Germany,DEU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2900
Djibouti,DJI,1300,1300,1300,1300,1200,1200,1200,1300,1300,1300,NA,NA
Dominican Republic,DOM,5100,4900,4600,4400,3900,3600,3100,2600,2200,1800,1700,1500
Ecuador,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400
Egypt,EGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500
