country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,AFG,1900,2000,2200,2400,2700,2900,3200,3600,4100,4600,5200,5800
Angola,AGO,120000,130000,140000,150000,160000,170000,180000,190000,2.00E+05,210000,220000,230000
Argentina,ARG,64000,66000,68000,71000,74000,77000,80000,83000,86000,90000,92000,95000
Armenia,ARM,3200,3500,3700,3800,3800,3800,3800,3700,3600,3600,3500,3600
Australia,AUS,12000,13000,14000,14000,15000,16000,17000,18000,19000,20000,21000,22000
Austria,AUT,4700,5500,6400,7500,8600,9900,11000,12000,14000,15000,16000,18000
Azerbaijan,AZE,2500,3000,3500,3900,4400,4800,5100,5400,5700,6000,6300,6700
Burundi,BDI,140000,130000,130000,120000,110000,110000,1.00E+05,99000,94000,89000,84000,80000
Belgium,BEL,8300,9300,10000,11000,12000,13000,15000,16000,17000,18000,19000,20000
Benin,BEN,67000,66000,64000,62000,61000,60000,60000,60000,60000,61000,63000,64000
Burkina Faso,BFA,160000,150000,150000,140000,140000,130000,130000,130000,120000,120000,120000,120000
Bangladesh,BGD,2000,2200,2500,2800,3200,3700,4200,4800,5400,6100,6800,7700
Bulgaria,BGR,1500,1700,2000,2200,2500,2800,3100,3300,3500,3700,3800,3900
Bahamas,BHS,6500,6500,6400,6300,6300,6300,6400,6400,6400,6300,6400,6500
Belarus,BLR,2900,4900,7500,10000,13000,15000,16000,17000,18000,19000,20000,20000
Belize,BLZ,3200,3400,3500,3700,3900,4000,4100,4200,4400,4500,4600,4600
Bolivia,BOL,26000,26000,25000,25000,24000,22000,21000,20000,19000,18000,17000,17000
Brazil,BRA,440000,450000,460000,470000,480000,480000,480000,490000,490000,490000,490000,490000
Barbados,BRB,1200,1200,1200,1200,1300,1300,1300,1300,1400,1400,1400,1400
Bhutan,BTN,60,60,160,160,350,350,350,600,600,600,1100,1300
Botswana,BWA,260000,270000,270000,280000,280000,280000,280000,280000,290000,290000,290000,3.00E+05
Central African Republic,CAF,170000,170000,170000,160000,160000,150000,150000,140000,140000,130000,130000,130000
Canada,CAN,47000,48000,51000,53000,55000,57000,59000,62000,64000,67000,69000,71000
Switzerland,CHE,13000,14000,14000,15000,16000,16000,17000,18000,19000,19000,20000,20000
Chile,CHL,40000,42000,44000,46000,47000,48000,49000,49000,50000,50000,50000,51000
China,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780000
Cote d'Ivoire,CIV,580000,560000,540000,520000,490000,470000,440000,420000,4.00E+05,380000,370000,360000
Cameroon,CMR,420000,450000,470000,490000,5.00E+05,520000,530000,540000,540000,550000,550000,550000
"Congo, Rep.",COG,74000,74000,74000,74000,74000,74000,75000,76000,77000,79000,81000,83000
Colombia,COL,130000,130000,140000,140000,140000,140000,150000,150000,150000,150000,150000,150000
Comoros,COM,60,60,60,160,160,160,160,160,350,350,350,350
